title,transaction,location,price,rentPrice,area,roomsNumber,datePosted,link
Mieszkanie - Apartament Szczecin Centrum,RENT,Szczecin,4500,560,90,THREE,2017-01-19T16:15:07Z,https://www.otodom.pl/pl/oferta/mieszkanie-apartament-szczecin-centrum-ID3aCcV
Komfortowy apartament | 3 pok. z loggią i garażem | Pogodno,RENT,"Szczecin, ul. gen. Stanisława Sosabowskiego",3500,920,53,THREE,2026-07-02T15:16:02Z,https://www.otodom.pl/pl/oferta/komfortowy-apartament-3-pok-z-loggia-i-garazem-pogodno-ID4C1b1
Dwupoziomowe przestronne m2 w super lokalizacji,RENT,"Szczecin, Owocowa",3500,800,80,FOUR,2026-07-06T16:05:04Z,https://www.otodom.pl/pl/oferta/dwupoziomowe-przestronne-m2-w-super-lokalizacji-ID4C461
2 pokojowe mieszkanie ks.Bogusława X + Internet,RENT,"Szczecin, ul. Księcia Bogusława X",2500,350,26,TWO,2026-07-06T15:44:32Z,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-ks-boguslawa-x-internet-ID4C441
Kawalerka 27m Szczecin centrum po remoncie,RENT,"Szczecin, ul. Parkowa",2000,550,27,ONE,2024-06-10T14:23:06Z,https://www.otodom.pl/pl/oferta/kawalerka-27m-szczecin-centrum-po-remoncie-ID4qZud
Mieszkanie 3 pokoje 55m2 po generalnym remoncie,RENT,"Szczecin, ul. Zygmunta Krasińskiego",3000,1150,55,THREE,2026-04-08T13:19:46Z,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-55m2-po-generalnym-remoncie-ID4AQ4Q
Kawalerka na wynajem w samym centrum!,RENT,"Szczecin, ul. bł. Królowej Jadwigi",1800,172.17,20,ONE,2026-07-06T13:16:00Z,https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-w-samym-centrum-ID4C3Mu
Komfortowy apartament przy Pl.Batorego z garażem,RENT,"Szczecin, Plac Stefana Batorego",5000,2063.66,101.16,THREE,2026-06-25T16:19:02Z,https://www.otodom.pl/pl/oferta/komfortowy-apartament-przy-pl-batorego-z-garazem-ID4BWEg
Potulicka: dwa pokoje,RENT,Szczecin,2500,425,41,TWO,2026-06-11T10:53:53Z,https://www.otodom.pl/pl/oferta/potulicka-dwa-pokoje-ID4BJ3s
"Mieszkanie, 32 m², Szczecin",RENT,"Szczecin, Antoniego Kaliny",2000,600,32,ONE,2026-07-06T11:41:04Z,https://www.otodom.pl/pl/oferta/mieszkanie-32-m-szczecin-ID4C3CB
Kazimierska| 3 pok| nieumeblowane| podwójne miejsce post| balkon|winda,RENT,"Szczecin, ul. Kazimierska",3000,480,67.23,THREE,2026-06-29T12:45:53Z,https://www.otodom.pl/pl/oferta/kazimierska-3-pok-nieumeblowane-podwojne-miejsce-post-balkon-winda-ID4BXN7
Wynajmę zadbane mieszkanie 52m2 na ul. Wilków Morskich 9,RENT,"Szczecin, ul. Wilków Morskich",2500,870,52,TWO,2026-05-18T11:50:06Z,https://www.otodom.pl/pl/oferta/wynajme-zadbane-mieszkanie-52m2-na-ul-wilkow-morskich-9-ID4BnZe
Komfortowe mieszkanie 2-pokojowe w centrum Szczecina + duży balkon,RENT,"Szczecin, ul. Jacka Malczewskiego",3000,500,46,TWO,2026-04-21T11:58:35Z,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-2-pokojowe-w-centrum-szczecina-duzy-balkon-ID4B1dh
Nowoczesna kawalerka w centrum Szczecina – w pełni wyposażona,RENT,"Szczecin, ul. Jacka Malczewskiego",2600,450,35,ONE,2026-04-21T12:15:30Z,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-w-centrum-szczecina-w-pelni-wyposazona-ID4B1ew
"Nowoczesne 2 pokoje na parterze, 37 m², ogródek!",RENT,Szczecin,2600,605,36.74,TWO,2026-07-06T11:13:33Z,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-na-parterze-37-m-ogrodek-ID4C3A3
Eleganckie mieszkanie 3 pokoje osobna kuchnia | Parking | Balkon,RENT,"Szczecin, al. Wyzwolenia",3800,800,62,THREE,2026-06-26T10:20:37Z,https://www.otodom.pl/pl/oferta/eleganckie-mieszkanie-3-pokoje-osobna-kuchnia-parking-balkon-ID4BV1V
Piękne mieszkanie do wynajęcia,RENT,"Szczecin, al. Powstańców Wielkopolskich 79",2500,590,37,TWO,2019-11-17T21:22:02Z,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-do-wynajecia-ID43x8H
"Kawalerka 39,39m2 w Szczecinie - Gumieńce",RENT,"Szczecin, Bronowicka 25D",2800,500,39.39,ONE,2025-01-05T09:45:12Z,https://www.otodom.pl/pl/oferta/kawalerka-39-39m2-w-szczecinie-gumience-ID4u739
Kawalerka w centrum,RENT,"Szczecin, ul. Grodzka",2500,550,30,ONE,2026-07-05T21:00:57Z,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-ID4C3hn
Nowa | W pełni wyposażona kawalerka | Bulwar Gdański w Szczecinie,RENT,"Szczecin, bulw. Gdański",2200,326,20.06,ONE,2026-06-11T17:26:25Z,https://www.otodom.pl/pl/oferta/nowa-w-pelni-wyposazona-kawalerka-bulwar-gdanski-w-szczecinie-ID4BJCo
Komfortowe 2-pokojowe mieszkanie w  Centrum,RENT,"Szczecin, ul. Unisławy",2800,800,38,TWO,2026-06-18T13:39:19Z,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-w-centrum-ID4BPj6
"Nowoczesna kawalerka ul. Dembowskiego, Jarzębinowe",RENT,"Szczecin, ul. Edwarda Dembowskiego",2200,300,32,ONE,2021-08-11T13:34:41Z,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-ul-dembowskiego-jarzebinowe-ID4cPcG
Mieszkanie premium - widok na Park Kasprowicza | garaż | taras,RENT,"Szczecin, ul. Stanisława i Wandy Miłaszewskich",4500,850,60,TWO,2026-06-15T17:20:08Z,https://www.otodom.pl/pl/oferta/mieszkanie-premium-widok-na-park-kasprowicza-garaz-taras-ID4BMxy
"Mieszkanie 2 pokojowe 46 m2, 3p. + balkon 10m2 z widokiem na miasto",RENT,"Szczecin, Duńska 26",2500,880,46.06,TWO,2026-07-05T16:14:14Z,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-46-m2-3p-balkon-10m2-z-widokiem-na-miasto-ID4C375
"Mieszkanie 48m - ul. Duńska,",RENT,"Szczecin, ul. Duńska",2200,700,48,TWO,2024-12-16T16:36:44Z,https://www.otodom.pl/pl/oferta/mieszkanie-48m-ul-dunska-ID4tWZT
"Kasprzaka: duże, 2 osobne pokoje",RENT,Szczecin,2700,394,60,TWO,2026-07-05T15:23:23Z,https://www.otodom.pl/pl/oferta/kasprzaka-duze-2-osobne-pokoje-ID4C35C
Mieszkanie 2 pokojowe w Szczecinie || Nowe miasto,RENT,"Szczecin, Xawerego Dunikowskiego",2400,590,42,TWO,2026-07-05T14:40:18Z,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-szczecinie-nowe-miasto-ID4C34c
Pierwszy najem! Nowe mieszkanie 27 m² Duży balkon 8 m² Wysoki standard,RENT,"Szczecin, ul. Zygmunta Chmielewskiego",2500,350,27,ONE,2026-06-02T09:33:45Z,https://www.otodom.pl/pl/oferta/pierwszy-najem-nowe-mieszkanie-27-m-duzy-balkon-8-m-wysoki-standard-ID4BBLA
Mieszkanie 2-pokojowe w Śródmieściu z tarasem i garażem,RENT,"Szczecin, Lewandowskiego 32 od Piastów",3000,450,49,TWO,2021-12-03T10:46:34Z,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-srodmiesciu-z-tarasem-i-garazem-ID4es5T
Komfortowe 2 pokojowe mieszkanie poszukuje nowego Najemcy,RENT,"Szczecin, ul. Bohaterów Getta Warszawskiego",2700,1053,62.3,TWO,2026-07-01T07:46:34Z,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-poszukuje-nowego-najemcy-ID4BZsK
2 pok. mieszkanie,RENT,"Szczecin, ul. Małe Błonia",2450,240,31.5,TWO,2023-07-09T21:52:54Z,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-ID4mdUf
"Wynajem długoterminowy, CENTRUM, ul. Sowińskiego",RENT,"Szczecin, Sowińskiego",2600,1000,57,TWO,2023-02-01T20:11:07Z,https://www.otodom.pl/pl/oferta/wynajem-dlugoterminowy-centrum-ul-sowinskiego-ID4k90z
"Dwa pokoje, stanowisko . Kamienica Nova",RENT,"Szczecin, ul. Gabriela Narutowicza",2950,450,32,TWO,2023-01-17T16:11:09Z,https://www.otodom.pl/pl/oferta/dwa-pokoje-stanowisko-kamienica-nova-ID4jVsP
"Mieszkanie 2 pokoje Centrum, ul.Unisławy po remoncie",RENT,"Szczecin, ul. Unisławy",2600,740,35,TWO,2026-04-02T20:53:18Z,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-centrum-ul-unislawy-po-remoncie-ID4AMGZ
Kawalerka na wynajem 27m² + miejsce postojowe w garażu podziemnym,RENT,Szczecin,2000,470,27,ONE,2025-09-27T11:31:54Z,https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-27m-miejsce-postojowe-w-garazu-podziemnym-ID4ykoi
Nowe mieszkanie z balkonem i miejscem parkingowym – BUKOWO PÓŁNOC,RENT,"Szczecin, Modelarska",2300,439,31,ONE,2026-06-14T11:50:57Z,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-z-balkonem-i-miejscem-parkingowym-bukowo-polnoc-ID4BLiT
